accidentDate;accidentTime;accidentDay;settlementType;settlement;district;streetType;streetName;houseNumber;locationComments;accidentType;mainAccidentCause;totalParticipantsAmount;injuryStatusParticipant1;injuryStatusParticipant2;latitude;longitude
2024-04-05;21:54:00;п'ятниця;місто;Львів;Сихівський;проспект;Святого Івана Павла ІІ, просп.;23;null;наїзд на велосипедиста - поза межами велосипедної доріжки;порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;49.80171;24.025233
2024-04-21;18:30:00;неділя;місто;Львів;Сихівський;вулиця;Козельницька;null;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.81461427594241;24.025569110666122
2024-04-09;19:15:00;вівторок;місто;Львів;Шевченківський;вулиця;Липинського В.;44;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.863754;24.033907
2024-04-07;12:10:00;неділя;місто;Львів;Франківський;вулиця;Княгині Ольги;null;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;перевищення безпечної швидкості;2;без ушкоджень;легко травмований;49.823543;24.007078
2024-04-07;12:41:00;неділя;місто;Львів;Франківський;вулиця;Кульпарківська;73;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;49.825287;23.989763
2024-04-09;19:24:00;вівторок;місто;Винники;Личаківський;вулиця;Стрілецька;4;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування, недодержання дистанції;2;легко травмований;легко травмований;49.813069;24.142526
2024-04-21;12:14:00;неділя;місто;Львів;Личаківський;вулиця;Богданівська;44;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування, порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;49.858685;24.07259
2024-04-04;13:14:00;четвер;місто;Львів;Сихівський;вулиця;Зелена;147;null;наїзд на велосипедиста - поза межами велосипедної доріжки;порушення правил маневрування;2;без ушкоджень;легко травмований;49.813606;24.06222
2024-04-12;21:40:00;п'ятниця;місто;Львів;Франківський;вулиця;Княгині Ольги;null;вул. Княгині Ольги - вул. Музики Я.;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.814507;24.001135
2024-04-09;8:35:00;вівторок;місто;Львів;Личаківський;вулиця;Хмельницького Б.;267;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування, порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;49.871164;24.05838
2024-06-13;10:53:00;четвер;місто;Львів;Галицький;вулиця;Городоцька;36;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил зупинки і стоянки транспортних засобів;2;без ушкоджень;легко травмований;49.841812;24.016258
2024-06-20;15:50:00;четвер;місто;Львів;Галицький;вулиця;Городоцька;null;вул. Городоцька - вул. Лепкого Б.;наїзд на велосипедиста - велосипедист рухався у зустрічному напрямку;порушення правил маневрування, невиконання вимог сигналів регулювання;2;без ушкоджень;легко травмований;49.842817;24.020357
2024-06-25;23:42:00;вівторок;місто;Львів;Личаківський;вулиця;Опришківська;null;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.85063149814156;24.043564212511896
2024-03-05;16:30:00;вівторок;місто;Львів;Залізничний;вулиця;Сяйво;null;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.839870419144795;23.977961141346388
2024-03-09;20:37:00;субота;місто;Львів;Залізничний;вулиця;Любінська;102;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;49.821830269484295;23.97209682723786
2024-02-21;14:31:00;середа;місто;Львів;Сихівський;вулиця;Луганська;null;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.808437;24.0457
2024-03-25;22:49:00;понеділок;місто;Львів;Сихівський;вулиця;Зелена;147;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;керування транспортним засобом у нетверезому стані, недодержання дистанції;2;без ушкоджень;легко травмований;49.813547;24.062065
2024-05-20;8:50:00;понеділок;місто;Львів;Франківський;вулиця;Коновальця Є.;22;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;49.832921;24.006479
2024-05-04;13:44:00;субота;місто;Львів;Личаківський;вулиця;Личаківська;117;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;49.838315;24.056046
2024-06-06;8:37:00;четвер;місто;Львів;Личаківський;вулиця;Кукурудзяна;4;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;виїзд на смугу зустрічного руху;2;без ушкоджень;легко травмований;49.86262;24.058326
2024-05-31;20:01:00;п'ятниця;місто;Львів;Сихівський;проспект;Святого Івана Павла ІІ, просп.;4б;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.799532;24.030683
2024-05-22;14:18:00;середа;місто;Львів;Шевченківський;проспект;Чорновола В., просп.;59;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.857122;24.020405
2024-05-07;16:30:00;вівторок;місто;Львів;Франківський;вулиця;Княгині Ольги;3;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;49.823729;24.007552
2024-05-09;9:05:00;четвер;місто;Львів;Франківський;вулиця;Наукова;48;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.806748;23.996201
2024-06-06;15:36:00;четвер;місто;Львів;Залізничний;вулиця;Шевченка Т.;120;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.848845;23.997359
2024-05-24;17:50:00;п'ятниця;місто;Львів;Галицький;проспект;Свободи, просп.;41;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;49.843452;24.025844
2024-07-12;9:01:00;п'ятниця;місто;Львів;Франківський;вулиця;Наукова;30;null;наїзд на велосипедиста - поза межами велосипедної доріжки;порушення правил маневрування;2;без ушкоджень;легко травмований;49.804669;23.998757
2024-08-03;18:52:00;субота;місто;Львів;Франківський;вулиця;Коновальця Є.;78;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду нерегульованих пішохідних переходів;2;без ушкоджень;легко травмований;49.829024;24.000556
2024-08-02;15:01:00;п'ятниця;місто;Львів;Сихівський;вулиця;Стрийська;null;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.812332;24.019686
2024-06-29;18:01:00;субота;місто;Львів;Шевченківський;проспект;Чорновола В., просп.;null;просп. Чорновола В. - вул. Липинського В.;наїзд на велосипедиста - на велосипедній доріжці;порушення правил маневрування;2;без ушкоджень;легко травмований;49.857312;24.022679
2024-07-20;15:42:00;субота;місто;Львів;Галицький;вулиця;Дорошенка П.;null;вул. Дорошенка П. - вул. Словацького Ю.;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.838121;24.023615
2024-08-15;17:43:00;четвер;селище;Брюховичі;Шевченківський;вулиця;Володимира Івасюка;3;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;перевищення безпечної швидкості;2;без ушкоджень;легко травмований;49.901863;23.938522
2024-08-22;20:26:00;четвер;місто;Львів;Личаківський;вулиця;Личаківська;null;вул. Личаківська - вул. Долішня;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;49.836055;24.06501
2024-09-07;13:46:00;субота;місто;Львів;Шевченківський;вулиця;Ковалика, проф.;1;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;перевищення безпечної швидкості;2;без ушкоджень;легко травмований;49.867679;23.952239
2024-09-10;17:05:00;вівторок;місто;Львів;Личаківський;вулиця;Глинянський Тракт;18;null;наїзд на велосипедиста - на велосипедній доріжці;порушення правил маневрування;2;без ушкоджень;легко травмований;49.836775;24.072928
2024-09-17;13:50:00;вівторок;місто;Львів;Залізничний;вулиця;Повітряна;34;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.844991;23.975832
2024-10-28;16:43:00;понеділок;місто;Львів;Шевченківський;проспект;Чорновола В., просп.;12;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.85635;24.022422
2024-11-05;10:42:00;вівторок;місто;Винники;Личаківський;вулиця;О. Любич-Парахоняк;10;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;недодержання дистанції;2;без ушкоджень;легко травмований;49.821515;24.140707
2024-10-21;18:01:00;понеділок;місто;Львів;Залізничний;вулиця;Городоцька;104;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;49.837277;24.003941
2024-11-07;20:17:00;четвер;місто;Львів;Залізничний;вулиця;Виговського І.;38;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;перевищення безпечної швидкості;2;без ушкоджень;легко травмований;49.817635;23.968863
2024-11-08;20:01:00;п'ятниця;місто;Львів;Шевченківський;вулиця;Шевченка Т.;358;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.873304;23.918781
